D	OL6480749A	OL3004382A
D A. Brown	OL5350644A	OL4366114A
D A. Horner	OL4706372A	OL4706349A
D A. Johnson	OL4342142A	OL4342130A
D A. Quarmby	OL4361785A	OL4361781A
D Allan Easton	OL5294659A	OL5294658A
D Anderson	OL4062279A	OL3301236A
D B. Harris	OL4323427A	OL4323411A
D B. Heyward	OL4324419A	OL4324416A
D Britford	OL4668373A	OL4668344A
D D. Wagman	OL4363606A	OL4363601A
D Deirmendjian	OL4835045A	OL4834895A
D E. Davies	OL4744656A	OL4744572A
D E. Gordon	OL4324206A	OL4324198A
D F. Galloway	OL4351279A	OL4351268A
D G Bebout	OL4731658A	OL4731657A
D G. Feather	OL4359856A	OL4359855A
D G. Feather	OL4359857A	OL4359856A
D G. Feather	OL4359858A	OL4359857A
D H S. Cranage	OL4325636A	OL4325631A
D H S. Cranage	OL4325641A	OL4325636A
D H. Barratt	OL5404163A	OL5404162A
D H. Barratt	OL5404164A	OL5404163A
D H. Barratt	OL5404165A	OL5404164A
D H. Barratt	OL5404166A	OL5404165A
D H. Barratt	OL5404167A	OL5404166A
D J Linton	OL6648010A	OL6648009A
D J. Williams	OL4352881A	OL4352876A
D Klenovskiǐ	OL4845926A	OL4845905A
D Klenovskiǐ	OL4845929A	OL4845926A
D Klenovskiǐ	OL4845930A	OL4845929A
D Klenovskiǐ	OL4845933A	OL4845930A
D Lubbesmeyer	OL4675304A	OL4675303A
D M. Yorke	OL4339010A	OL4339000A
D Morrison	OL4750978A	OL4750977A
D N. Underwood	OL4354358A	OL4354353A
D Naus	OL4731393A	OL4731295A
D R. Wilson	OL4354534A	OL4354477A
D R. Wilson	OL4354551A	OL4354534A
D S Hague	OL4746310A	OL4746278A
D S. Ireland	OL4406371A	OL4406351A
D S. Ireland	OL4406372A	OL4406371A
D T. MacDougal	OL4347962A	OL4347956A
D T. MacDougal	OL4347970A	OL4347962A
D T. MacDougal	OL4348088A	OL4347970A
D W. Jones	OL4347028A	OL4347022A
D W. Widginton	OL4365569A	OL4365566A
D&ad; Awards	OL7334071A	OL7297247A
D'Alton McCarthy	OL7177907A	OL4991935A
D'Amico, Stefano	OL466896A	OL1792759A
D'Amore, Giuseppe	OL751010A	OL1554359A
D'Angelo	OL7526750A	OL3493048A
D'Ann Campbell	OL6308008A	OL1233184A
D'Anna J. B Jensen	OL4309058A	OL4308966A
D'Arco Silvio Avalle	OL904772A	OL5644746A
D'Arcy Boulton	OL4706704A	OL2498773A
D'Arcy Godolphin Osborne	OL6553476A	OL5092349A
D'Arcy Jenish	OL6405112A	OL342246A
D'Arcy Jenish	OL6788967A	OL6405112A
D'Arcy Jonathan Dacre Boulton	OL5979454A	OL1188084A
D'Arcy McNickle	OL830214A	OL4727149A
D'Arcy Niland	OL624146A	OL4373762A
D'Arcy Power	OL7281438A	OL2893123A
D'Errico, Antonio	OL65492A	OL1563905A
D'Iberville Fortier	OL5388074A	OL5388065A
D. A Balcom	OL4786309A	OL4786303A
D. A Cataldo	OL4731747A	OL4731745A
D. A Lieblich	OL4309893A	OL4309892A
D. A Stedfast	OL4306997A	OL4306820A
D. A. A. Toews	OL4690589A	OL1465294A
D. A. Andrews	OL4724388A	OL218527A
D. A. Antonov	OL816638A	OL4409397A
D. A. Arapov	OL5483320A	OL2257416A
D. A. Baker	OL868168A	OL4771520A
D. A. Barker	OL6320105A	OL2566085A
D. A. Bell	OL773626A	OL5509458A
D. A. Booth	OL722483A	OL5882181A
D. A. Brading	OL722110A	OL4398897A
D. A. Brodie	OL6223802A	OL5311087A
D. A. Brown	OL4938274A	OL2226095A
D. A. Burdekin	OL5813875A	OL3270321A
D. A. Buxton Hopkin	OL6245576A	OL1655222A
D. A. Cameron	OL880771A	OL6368581A
D. A. Campbell	OL5300264A	OL3740271A
D. A. Chart	OL4486324A	OL4466103A
D. A. Clarke	OL7089032A	OL366946A
D. A. Cliffe	OL4403535A	OL4403534A
D. A. Cliffe	OL4403536A	OL4403535A
D. A. Cliffe	OL4403537A	OL4403536A
D. A. Cliffe	OL4403542A	OL4403537A
D. A. Cliffe	OL4403543A	OL4403542A
D. A. Cliffe	OL4403544A	OL4403543A
D. A. Cliffe	OL4403545A	OL4403544A
D. A. Coleman	OL893374A	OL6572130A
D. A. Dale	OL4619972A	OL2136472A
D. A. Davis	OL6828649A	OL2092779A
D. A. Dawson	OL6390250A	OL1973664A
D. A. Edwards	OL832383A	OL4470051A
D. A. G. Green	OL4597368A	OL1996474A
D. A. G. Waddell	OL913618A	OL5887978A
D. A. Gangadhar	OL4596177A	OL1598371A
D. A. Girdler	OL4422284A	OL4422283A
D. A. Gray	OL5425363A	OL5425362A
D. A. Harsha	OL6821986A	OL2240045A
D. A. Herbert	OL6217308A	OL5278960A
D. A. Hill	OL6848952A	OL1313614A
D. A. Holmes	OL6888751A	OL4350671A
D. A. Howell	OL6434291A	OL1335253A
D. A. Jackson	OL5375667A	OL5375651A
D. A. Jones	OL884473A	OL5750956A
D. A. Keeley	OL7601628A	OL7505958A
D. A. Kemp	OL5412319A	OL2665348A
D. A. Kharkevich	OL6356047A	OL2225653A
D. A. Kinsley	OL5327189A	OL1603286A
D. A. Kirby	OL4459296A	OL2109837A
D. A. Kirby	OL6260824A	OL4459296A
D. A. Kunaev	OL70187A	OL4544022A
D. A. L. Auld	OL858004A	OL6198860A
D. A. Lane	OL4807419A	OL2914048A
D. A. Lee	OL4731517A	OL4731416A
D. A. Leonard	OL4850570A	OL4850568A
D. A. Lewis	OL4392688A	OL1001575A
D. A. Lewis	OL4392689A	OL4392688A
D. A. Lewis	OL4392691A	OL4392689A
D. A. Low	OL4442135A	OL373789A
D. A. M. Price	OL4463048A	OL4463042A
D. A. Mays	OL4752563A	OL4752553A
D. A. Merrick	OL5394556A	OL5018190A
D. A. Mougel	OL7231176A	OL6294527A
D. A. Palmer	OL4728608A	OL4728607A
D. A. Pinder	OL6065410A	OL3305911A
D. A. Ponsonby	OL4415716A	OL1782519A
D. A. Pospelov	OL4405215A	OL4405122A
D. A. Protopapas	OL5776999A	OL1071244A
D. A. Quadling	OL4426954A	OL1640302A
D. A. Quinn	OL5934360A	OL2513542A
D. A. Rayner	OL4728792A	OL238749A
D. A. Rees	OL5258319A	OL3459369A
D. A. Roberts	OL7557639A	OL4420874A
