"Alba Nidia	Triana Ramirez","/authors/OL7389105A"
"Clara Inés	García de la Torre","/authors/OL7358970A"
"	Harold Whittle Blakeley","/authors/OL7291498A"
"Francesca	Gargallo Celentani","/authors/OL7388760A"
"Hugo	Cerda Gutiérrez","/authors/OL7389240A"
"Rosa Marí	Ytarte","/authors/OL7388486A"
"Maria Rita	Ferrini","/authors/OL7395967A"
"Marco Antonio	Palacios Rozo","/authors/OL7395960A"
"P. C.	Wason","/authors/OL7393991A"
"Elkin	Jimenez Diaz","/authors/OL7395968A"
"Olga Lucía	Zuluaga Garcés","/authors/OL7396521A"
"José Iván	Bedoya Madrid","/authors/OL7397108A"
"Joan	Pagés Blanch","/authors/OL7397089A"
"	John Fitzgerald","/authors/OL7286947A"
"	Hugh Clark","/authors/OL7283215A"
"Carlos Alberto	Martinez Mendoza","/authors/OL7397110A"
"Carlos Alberto	Jiménez Vélez","/authors/OL7393948A"
"Ahmed A. Khammash and 	S. A. Alamir","/authors/OL6894111A"
"Lyda Constanza	Mora Mendieta  ","/authors/OL7394702A"
"Alejandro	Mayordomo Perez","/authors/OL7395722A"
"Ana	Araujo","/authors/OL7506099A"
"Jose	Segovia Perez","/authors/OL7389237A"
"Juan Jose	Ortells Rodriguez","/authors/OL7393929A"
"Luz Dary	Ruiz Botero","/authors/OL7389216A"
"José Roberto Franco Xavier,	Paulo Eduardo Alves Silva","/authors/OL7245463A"
"Eustaquia	Anton","/authors/OL7395415A"
"Román	Gubern Garriga-Nogues","/authors/OL7394714A"
"Lluís	Duch Álvarez","/authors/OL7395391A"
"	Commercial Telegraphers' Union of America","/authors/OL7279661A"
"Humberto	Quiceno Castrillon","/authors/OL7397094A"
"Fabio de Jesús	Valencia Jurado","/authors/OL7389254A"
"Almudena	Gimenez de la Peña","/authors/OL7393987A"
"María Mercedes	Cuellar López","/authors/OL7396508A"
"Nahir 	Rodriguez de Salazar","/authors/OL7388126A"
"	Nicholas Treggiari","/authors/OL7278938A"
"Rosa Mercedes	Reyes Navia","/authors/OL7393936A"
"Walter G.	Secada  ","/authors/OL7394722A"
"	François Plaine","/authors/OL7366463A"
"Humberto	Maturana Romesín","/authors/OL7394713A"
"Cayetano	Estevez Solano","/authors/OL7395425A"
"Victorien	Lavou Zoungbo","/authors/OL7388766A"
"	Rüdiger Hermes","/authors/OL7542782A"
"	Simon des Saints Joseph et Thérèse, tertiaire des carmes deÌchaux preÌtre","/authors/OL7289061A"
"Lili 	Ochoa de La Fuente","/authors/OL7389116A"
"María Mercedes	Cuellar López","/authors/OL7396509A"
"Ma. Consueloc	Cerdá Marín","/authors/OL7393946A"
"Alexander	Yarza","/authors/OL7387933A"
"Dora Inés 	Calderón","/authors/OL7389112A"
"Joan	Rué Domingo","/authors/OL7394683A"
"Fina 	Birulés Bertran","/authors/OL7395964A"
"	United States. Navy Department. Bureau of Supplies and Accounts","/authors/OL7282847A"
"Luz María 	Londoño Fernández","/authors/OL7359941A"
"Abel	Rodriguez Cespedes","/authors/OL7395287A"
"	Arnoldo de León","/authors/OL7422591A"
"Pascual F.	Martinez Freire","/authors/OL7393943A"
"Calo	Iglesias Diaz","/authors/OL7395954A"
"Teofilo R.	Neira","/authors/OL7395387A"
"Margarita María	Zapata Gutiérrez","/authors/OL7395413A"
"Elsa	Castaneda Bernal","/authors/OL7397109A"
"Ricardo Enrique	Baquero Mogollon","/authors/OL7394677A"
"Bobbie Peers	 ","/authors/OL7405785A"
